problem_size,block_size,grid_size,cpu_time,gpu_time,errors
4096,1024,4,0.028000,0.032000,0
8192,1024,8,0.054000,0.032000,0
16384,1024,16,0.104000,0.034000,0
32768,1024,32,0.214000,0.036000,0
65536,1024,64,0.439000,0.065000,0
131072,1024,128,1.407000,0.128000,0
262144,1024,256,1.686000,0.261000,0
524288,1024,512,3.489000,0.297000,0
1048576,1024,1024,6.728000,0.379000,0
2097152,1024,2048,13.766000,0.540000,0
4194304,1024,4096,34.005000,0.872000,0
8388608,1024,8192,53.036000,1.546000,0
16777216,1024,16384,106.538000,2.891000,0
33554432,1024,32768,258.488000,5.580000,0
