processors,problem_size,scalable,time
9,45460800,false,0.214663
5,5544000,true,0.236942
8,49896000,false,0.263804
11,23284800,false,0.091305
3,9979200,false,0.141404
9,27720000,true,1.202226
9,18849600,false,0.093967
1,45460800,true,1.774383
11,9979200,false,0.048592
4,27720000,false,0.280617
2,32155200,true,1.282329
9,5544000,true,0.236452
10,36590400,true,1.499551
4,41025600,true,1.627230
2,49896000,true,1.973844
9,49896000,true,2.063198
12,32155200,false,0.122923
3,45460800,false,0.607523
11,27720000,true,1.568072
8,27720000,false,0.153769
12,23284800,false,0.084504
11,9979200,true,0.412103
9,41025600,true,1.691513
4,36590400,false,0.369642
3,49896000,true,1.978137
8,32155200,true,1.329101
1,5544000,false,0.225246
1,49896000,true,1.945946
10,18849600,false,0.082475
7,27720000,false,0.169755
7,5544000,true,0.232180
2,9979200,false,0.204736
8,18849600,false,0.102554
10,49896000,true,2.076630
6,5544000,false,0.046443
4,14414400,false,0.149130
7,36590400,true,1.504274
12,49896000,false,0.176307
3,18849600,false,0.259511
2,36590400,false,0.732366
12,41025600,true,1.700841
7,45460800,true,1.870991
6,23284800,true,0.967194
12,27720000,false,0.102200
8,14414400,true,0.610301
11,49896000,false,0.195288
5,36590400,true,2.339910
9,27720000,false,0.131748
3,45460800,true,1.803897
2,49896000,false,0.987849
9,14414400,false,0.075037
1,5544000,true,0.223488
9,9979200,false,0.054287
2,18849600,true,0.753925
6,14414400,true,0.603959
3,23284800,false,0.315066
10,9979200,true,0.422901
12,23284800,true,0.990043
3,14414400,false,0.194558
9,36590400,true,1.530493
11,5544000,false,0.029520
7,9979200,true,0.504098
9,9979200,true,0.415513
12,41025600,false,0.146839
5,41025600,true,1.667754
2,23284800,false,0.464741
11,41025600,true,1.688912
10,14414400,true,0.595932
7,18849600,false,0.116351
6,14414400,false,0.109086
1,32155200,true,1.260675
1,36590400,false,1.473910
11,45460800,false,0.176008
7,41025600,false,0.250224
10,5544000,true,0.315504
11,14414400,false,0.062718
2,9979200,true,0.400349
11,27720000,false,0.123525
2,23284800,true,0.933772
8,27720000,true,1.150958
6,18849600,true,0.771298
6,45460800,true,1.878123
7,14414400,false,0.090540
8,23284800,false,0.126233
10,18849600,true,0.775182
12,36590400,false,0.169093
6,36590400,false,0.258954
10,49896000,false,0.212407
4,18849600,true,0.767297
12,14414400,true,0.812298
5,27720000,true,1.131960
5,23284800,true,0.955489
1,41025600,true,1.612088
4,9979200,false,0.106413
8,41025600,false,0.217513
1,41025600,false,1.604563
4,27720000,true,1.107221
2,41025600,false,0.818832
12,27720000,true,1.207782
5,14414400,true,0.598518
2,45460800,false,0.902140
11,45460800,true,1.862709
3,27720000,false,0.373270
5,18849600,false,0.177046
2,27720000,false,0.560481
3,18849600,true,0.748264
2,32155200,false,0.644974
6,27720000,true,1.154204
9,32155200,false,0.158193
11,18849600,false,0.073479
6,18849600,false,0.136340
9,23284800,false,0.116819
10,32155200,true,1.323010
6,41025600,true,1.682402
10,9979200,false,0.050331
6,36590400,true,1.507663
4,49896000,false,0.501807
8,36590400,true,1.512975
5,45460800,false,0.380292
5,45460800,true,1.850368
5,9979200,false,0.088443
5,23284800,false,0.240572
6,27720000,false,0.199986
7,18849600,true,0.778208
4,9979200,true,0.407875
12,5544000,true,0.261523
8,9979200,true,0.417026
12,32155200,true,1.798883
5,5544000,false,0.063261
7,5544000,false,0.037822
1,23284800,true,0.907411
8,5544000,true,0.236453
11,18849600,true,0.785190
8,5544000,false,0.036611
5,14414400,false,0.131874
7,41025600,true,1.678508
2,18849600,false,0.379961
4,23284800,true,0.924867
7,49896000,true,2.062728
9,45460800,true,1.872729
12,18849600,false,0.074375
12,14414400,false,0.060413
3,32155200,true,1.272527
3,32155200,false,0.434869
6,32155200,false,0.230558
8,14414400,false,0.081403
3,5544000,true,0.227653
12,9979200,false,0.040474
2,14414400,true,0.585580
3,27720000,true,1.108626
11,32155200,false,0.129991
8,9979200,false,0.060559
10,41025600,false,0.222747
11,5544000,true,0.246543
6,9979200,false,0.076916
3,14414400,true,0.572923
7,9979200,false,0.067850
8,18849600,true,0.779894
6,49896000,true,2.805068
2,41025600,true,1.637282
1,18849600,true,0.736706
1,27720000,true,1.098324
5,18849600,true,0.772653
2,27720000,true,1.099097
7,27720000,true,1.142757
4,32155200,true,1.274302
4,45460800,true,1.799348
9,32155200,true,1.326466
10,23284800,true,0.965271
12,49896000,true,2.039658
10,41025600,true,1.687896
5,49896000,true,2.032148
12,18849600,true,0.776256
5,27720000,false,0.230969
1,9979200,false,0.394798
1,36590400,true,1.427074
7,32155200,false,0.194193
1,49896000,false,1.946128
6,5544000,true,0.235783
9,5544000,false,0.030496
3,49896000,false,0.664463
5,41025600,false,0.350313
10,45460800,false,0.203931
12,5544000,false,0.033178
9,18849600,true,0.791768
3,9979200,true,0.407910
9,41025600,false,0.192367
4,45460800,false,0.460032
2,5544000,false,0.119673
7,14414400,true,0.742430
3,5544000,false,0.080950
1,23284800,false,0.922747
3,36590400,false,0.489135
4,5544000,false,0.065160
10,23284800,false,0.103764
6,49896000,false,0.351538
7,23284800,false,0.146720
4,49896000,true,1.985773
11,41025600,false,0.161413
7,32155200,true,1.322701
9,14414400,true,0.601724
8,49896000,true,2.069892
9,23284800,true,0.959280
8,45460800,false,0.240265
9,36590400,false,0.174651
8,45460800,true,1.898566
2,14414400,false,0.290148
3,36590400,true,1.441429
8,23284800,true,0.966328
1,27720000,false,1.081440
1,18849600,false,0.740866
12,45460800,false,0.163149
7,45460800,false,0.272986
6,41025600,false,0.290865
4,5544000,true,0.230229
10,32155200,false,0.138050
11,36590400,true,1.516297
8,32155200,false,0.172487
3,41025600,true,1.615519
10,27720000,false,0.157301
2,5544000,true,0.230040
5,49896000,false,0.421053
6,32155200,true,1.322572
1,45460800,false,1.769485
1,9979200,true,0.392834
6,23284800,false,0.169303
5,32155200,true,1.311370
5,9979200,true,0.414452
1,14414400,false,0.576951
12,9979200,true,0.418522
7,49896000,false,0.302829
12,36590400,true,1.495337
12,45460800,true,1.856797
1,32155200,false,1.256587
10,27720000,true,1.144278
4,18849600,false,0.195491
4,41025600,false,0.407754
7,23284800,true,0.962171
11,49896000,true,2.055273
2,45460800,true,1.799643
10,5544000,false,0.033205
11,14414400,true,0.602067
2,36590400,true,1.458411
3,41025600,false,0.545463
7,36590400,false,0.220542
1,14414400,true,0.575356
3,23284800,true,0.924472
8,36590400,false,0.193352
11,32155200,true,1.336736
11,36590400,false,0.146955
4,32155200,false,0.328042
6,9979200,true,0.415445
5,36590400,false,0.308708
4,23284800,false,0.233558
4,14414400,true,0.572463
10,45460800,true,1.868443
10,36590400,false,0.155608
10,14414400,false,0.067832
6,45460800,false,0.317364
5,32155200,false,0.267723
9,49896000,false,0.232162
11,23284800,true,0.962541
8,41025600,true,1.688998
